City_ID,City,Description,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Lata,overcast clouds,2021-02-18 03:59:29,40.1629,-8.3327,57.99,85,100,3.0
248,Kendari,broken clouds,2021-02-18 04:08:37,-3.945,122.4989,88.34,61,62,3.4
249,Eureka,overcast clouds,2021-02-18 03:59:15,40.8021,-124.1637,48.0,83,93,1.01
250,Evensk,clear sky,2021-02-18 03:59:17,61.95,159.2333,5.07,82,7,15.66
251,Yulara,scattered clouds,2021-02-18 04:08:37,-25.2406,130.9889,100.4,20,40,6.91
252,Mehamn,broken clouds,2021-02-18 04:08:37,71.0357,27.8492,24.8,63,75,8.05
253,Yenisehir,mist,2021-02-18 04:08:38,40.2644,29.6531,24.8,100,75,3.18
254,Ankang,overcast clouds,2021-02-18 04:08:38,32.68,109.0172,62.78,29,98,1.3
255,Chengde,clear sky,2021-02-18 04:08:38,40.9725,117.9361,30.33,65,0,3.22
256,Nosy Varika,overcast clouds,2021-02-18 04:08:38,-20.5833,48.5333,79.09,87,97,2.1
257,Harper,light rain,2021-02-18 04:08:38,4.375,-7.7169,75.43,89,100,4.32
258,Kieta,light rain,2021-02-18 03:59:45,-6.2167,155.6333,85.69,66,82,6.51
259,Dunedin,clear sky,2021-02-18 04:08:38,-45.8742,170.5036,62.06,60,3,4.14
260,Terme,scattered clouds,2021-02-18 04:08:38,41.2092,36.9739,21.2,79,40,5.75
261,Gat,broken clouds,2021-02-18 04:08:38,31.61,34.7642,42.01,100,65,16.02
262,Xining,clear sky,2021-02-18 04:05:05,36.6167,101.7667,34.7,66,0,2.37
263,Ola,overcast clouds,2021-02-18 04:08:39,59.5833,151.2833,13.46,89,92,13.02
264,Tivoli,clear sky,2021-02-18 04:08:39,41.9609,12.7989,44.01,76,0,2.95
265,Eyl,overcast clouds,2021-02-18 04:08:39,7.9803,49.8164,73.36,73,100,13.4
266,Caravelas,light rain,2021-02-18 03:59:32,-17.7125,-39.2481,79.23,81,100,8.72
267,Svetlogorsk,broken clouds,2021-02-18 04:08:39,52.6333,29.7333,-2.88,92,82,8.77
268,Muromtsevo,overcast clouds,2021-02-18 04:08:40,56.3724,75.2418,-13.59,88,99,1.79
269,Monroe,overcast clouds,2021-02-18 04:06:27,43.1501,-77.6831,19.99,67,90,3.44
270,Vitoria Da Conquista,overcast clouds,2021-02-18 04:08:40,-14.8661,-40.8394,66.97,96,100,3.87
271,The Pas,clear sky,2021-02-18 04:04:00,53.8251,-101.2541,-13.0,77,1,2.3
272,Vestmanna,overcast clouds,2021-02-18 03:59:14,62.1564,-7.1664,42.8,100,90,9.22
273,Mulki,broken clouds,2021-02-18 04:08:40,13.1,74.8,78.8,69,75,4.61
274,Paamiut,clear sky,2021-02-18 03:59:55,61.994,-49.6678,11.7,85,0,22.19
275,Sur,clear sky,2021-02-18 03:59:26,22.5667,59.5289,76.64,26,0,6.24
